gene_symbol,study
EEA1,Eichstaedt2017
EIF3CL,Eichstaedt2017
EPAS1,Eichstaedt2017
FAM161A,Eichstaedt2017
FCN3,Eichstaedt2017
FLG2,Eichstaedt2017
GATSL1,Eichstaedt2017
GCM1,Eichstaedt2017
GDF2,Eichstaedt2017
GJA9,Eichstaedt2017
GPR126,Eichstaedt2017
GUCY1A2,Eichstaedt2017
HIC2,Eichstaedt2017
HLA-A,Eichstaedt2017
IL17F,Eichstaedt2017
IL22RA1,Eichstaedt2017
IMPG1,Eichstaedt2017
INADL,Eichstaedt2017
ITPKB,Eichstaedt2017
IVL,Eichstaedt2017
KHDRBS2,Eichstaedt2017
KIAA0319L,Eichstaedt2017
KIAA0586,Eichstaedt2017
KIF26A,Eichstaedt2017
KITLG,Eichstaedt2017
KRTAP19-8,Eichstaedt2017
KRTAP5-7,Eichstaedt2017
KYNU,Eichstaedt2017
LBP,Eichstaedt2017
LTBP3,Eichstaedt2017
MAPK8,Eichstaedt2017
MEGF6,Eichstaedt2017
MRPS27,Eichstaedt2017
MTRR,Eichstaedt2017
MUC3A,Eichstaedt2017
NDUFS8,Eichstaedt2017
NUDT8,Eichstaedt2017
OR52W1,Eichstaedt2017
OSBPL1A,Eichstaedt2017
OTUD6B,Eichstaedt2017
PAQR8,Eichstaedt2017
PCED1A,Eichstaedt2017
PLCG2,Eichstaedt2017
PODN,Eichstaedt2017
POTEF,Eichstaedt2017
PPIE,Eichstaedt2017
PRKCH,Eichstaedt2017
PSMD5,Eichstaedt2017
PTPN20B,Eichstaedt2017
RASGRP2,Eichstaedt2017
RBBP8,Eichstaedt2017
RBM15,Eichstaedt2017
RELT,Eichstaedt2017
RIMBP3B,Eichstaedt2017
ROBO2,Eichstaedt2017
RP11-1085N6.3,Eichstaedt2017
RP11-122A3.2,Eichstaedt2017
RP11-796G6.2,Eichstaedt2017
SEC14L4,Eichstaedt2017
SEC24D,Eichstaedt2017
SEPSECS,Eichstaedt2017
SFN,Eichstaedt2017
SLC22A12,Eichstaedt2017
SNAPC1,Eichstaedt2017
SNX15,Eichstaedt2017
SPHKAP,Eichstaedt2017
SPIDR,Eichstaedt2017
STXBP5L,Eichstaedt2017
SUN1,Eichstaedt2017
SYT12,Eichstaedt2017
TAS2R40,Eichstaedt2017
TCEANC2,Eichstaedt2017
THRAP3,Eichstaedt2017
TIMM23,Eichstaedt2017
TMEM132C,Eichstaedt2017
TNP2,Eichstaedt2017
TRAM2,Eichstaedt2017
TRAP1,Eichstaedt2017
TRMT112,Eichstaedt2017
TRNP1,Eichstaedt2017
UGT2B15,Eichstaedt2017
URB1,Eichstaedt2017
VWDE,Eichstaedt2017
XPO1,Eichstaedt2017
YTHDC1,Eichstaedt2017
ZDHHC14,Eichstaedt2017
ZEB2,Eichstaedt2017
ZMYM6NB,Eichstaedt2017
ZNF747,Eichstaedt2017
AGO3,Eichstaedt2017
BMP8B,Eichstaedt2017
C14orf37,Eichstaedt2017
C1orf123,Eichstaedt2017
CABP2,Eichstaedt2017
CLSPN,Eichstaedt2017
DEFA1,Eichstaedt2017
FAM168A,Eichstaedt2017
FAM46B,Eichstaedt2017
FBXO9,Eichstaedt2017
GPHA2,Eichstaedt2017
HSPB11,Eichstaedt2017
KRTAP5-9,Eichstaedt2017
MACROD1,Eichstaedt2017
MUC17,Eichstaedt2017
MZT2B,Eichstaedt2017
NRXN2,Eichstaedt2017
NUPR1,Eichstaedt2017
PIGV,Eichstaedt2017
PRM3,Eichstaedt2017
RGPD1,Eichstaedt2017
RHOD,Eichstaedt2017
RNF103-CHMP3,Eichstaedt2017
RP1-187N21.4,Eichstaedt2017
RPS6KB2,Eichstaedt2017
RRAGC,Eichstaedt2017
SGSH,Eichstaedt2017
SH3D21,Eichstaedt2017
SLC22A11,Eichstaedt2017
SSSCA1,Eichstaedt2017
SULT1A2,Eichstaedt2017
SUV420H1,Eichstaedt2017
SYTL3,Eichstaedt2017
VPS16,Eichstaedt2017
WDTC1,Eichstaedt2017
YDJC,Eichstaedt2017
ZNF48,Eichstaedt2017
ACTR10,Eichstaedt2017
AP000867.1,Eichstaedt2017
BATF2,Eichstaedt2017
CCDC74B,Eichstaedt2017
CDC42BPG,Eichstaedt2017
CLCF1,Eichstaedt2017
CLN3,Eichstaedt2017
DCTPP1,Eichstaedt2017
EZR,Eichstaedt2017
GPN2,Eichstaedt2017
HMGA1,Eichstaedt2017
LRRC42,Eichstaedt2017
MAGOH,Eichstaedt2017
MAP3K11,Eichstaedt2017
MAP7D1,Eichstaedt2017
NPIPB9,Eichstaedt2017
NUDT22,Eichstaedt2017
OXCT2,Eichstaedt2017
PRDX5,Eichstaedt2017
PRM2,Eichstaedt2017
RMND5A,Eichstaedt2017
SLC26A11,Eichstaedt2017
TMEM134,Eichstaedt2017
TRIM56,Eichstaedt2017
UBE2L3,Eichstaedt2017
WASF2,Eichstaedt2017
AP001362.1,Eichstaedt2017
C1orf172,Eichstaedt2017
CD164L2,Eichstaedt2017
EVA1B,Eichstaedt2017
GPR152,Eichstaedt2017
KRTAP5-10,Eichstaedt2017
NPIPB7,Eichstaedt2017
NPIPB8,Eichstaedt2017
POLD4,Eichstaedt2017
SDF2L1,Eichstaedt2017
SERPINE1,Eichstaedt2017
SF1,Eichstaedt2017
SOCS1,Eichstaedt2017
STIP1,Eichstaedt2017
TBC1D16,Eichstaedt2017
TMEM59,Eichstaedt2017
VEGFB,Eichstaedt2017
ZNF768,Eichstaedt2017
AL161915.1,Eichstaedt2017
APOBR,Eichstaedt2017
ATG2A,Eichstaedt2017
CABP4,Eichstaedt2017
EHBP1L1,Eichstaedt2017
EIF4A3,Eichstaedt2017
GPATCH3,Eichstaedt2017
GPR137,Eichstaedt2017
KRTAP5-11,Eichstaedt2017
MAP3K6,Eichstaedt2017
PYGM,Eichstaedt2017
RMI2,Eichstaedt2017
SSH3,Eichstaedt2017
TRPT1,Eichstaedt2017
ZNF785,Eichstaedt2017
AIP,Eichstaedt2017
C11orf85,Eichstaedt2017
KCNK4,Eichstaedt2017
KDM2A,Eichstaedt2017
PCNXL3,Eichstaedt2017
TMEM222,Eichstaedt2017
ZNF764,Eichstaedt2017
AP000769.1,Eichstaedt2017
BAD,Eichstaedt2017
ITGAL,Eichstaedt2017
PPP2R5B,Eichstaedt2017
TBC1D10C,Eichstaedt2017
AC002310.13,Eichstaedt2017
ADRBK1,Eichstaedt2017
FAM89B,Eichstaedt2017
FKBP2,Eichstaedt2017
TBX10,Eichstaedt2017
1-Sep,Eichstaedt2017
CARNS1,Eichstaedt2017
CORO1B,Eichstaedt2017
TEX40,Eichstaedt2017
RPS6KA4,Eichstaedt2017
C11orf72,Eichstaedt2017
PITPNM1,Eichstaedt2017
GSTP1,Eichstaedt2017
CDK2AP2,Eichstaedt2017
PPP1R14B,Eichstaedt2017
CCDC88B,Eichstaedt2017
ZNF771,Eichstaedt2017
ADPRHL2,Eichstaedt2017
AFM,Eichstaedt2017
ALDH3B1,Eichstaedt2017
AP001885.1,Eichstaedt2017
AP1S1,Eichstaedt2017
CCDC116,Eichstaedt2017
CCT4,Eichstaedt2017
CHKA,Eichstaedt2017
DEFA1B,Eichstaedt2017
DYNLT1,Eichstaedt2017
EHD1,Eichstaedt2017
ESRRA,Eichstaedt2017
FERMT3,Eichstaedt2017
GAA,Eichstaedt2017
GTF2IRD2,Eichstaedt2017
ICK,Eichstaedt2017
IL17A,Eichstaedt2017
IL27,Eichstaedt2017
LDLRAD1,Eichstaedt2017
LRRC69,Eichstaedt2017
MEGF9,Eichstaedt2017
MEN1,Eichstaedt2017
MYCBP,Eichstaedt2017
MYCL,Eichstaedt2017
NADSYN1,Eichstaedt2017
NDUFV1,Eichstaedt2017
NECAB1,Eichstaedt2017
NUDC,Eichstaedt2017
NUDT3,Eichstaedt2017
P2RY6,Eichstaedt2017
PRM1,Eichstaedt2017
PSMA3,Eichstaedt2017
PTPRA,Eichstaedt2017
RAD9A,Eichstaedt2017
RP11-268J15.5,Eichstaedt2017
SCP2,Eichstaedt2017
SCYL1,Eichstaedt2017
SEPHS2,Eichstaedt2017
SLC1A7,Eichstaedt2017
SMPD4,Eichstaedt2017
SULT1A1,Eichstaedt2017
SYTL1,Eichstaedt2017
TIMM9,Eichstaedt2017
TMPRSS11B,Eichstaedt2017
WBSCR16,Eichstaedt2017
ZDHHC18,Eichstaedt2017
ZMYM6,Eichstaedt2017
ZNF366,Eichstaedt2017
AC111200.1,Eichstaedt2017
AGAP6,Eichstaedt2017
AGO1,Eichstaedt2017
ALB,Eichstaedt2017
AP003774.4,Eichstaedt2017
ARHGEF17,Eichstaedt2017
ARID1A,Eichstaedt2017
ARL2,Eichstaedt2017
CARD14,Eichstaedt2017
CD86,Eichstaedt2017
CDCP2,Eichstaedt2017
CLEC16A,Eichstaedt2017
COMMD1,Eichstaedt2017
DEFA3,Eichstaedt2017
DIO3,Eichstaedt2017
EFHC1,Eichstaedt2017
EIF3C,Eichstaedt2017
ELOVL5,Eichstaedt2017
FBXW2,Eichstaedt2017
FLRT1,Eichstaedt2017
FRMPD2,Eichstaedt2017
GDF10,Eichstaedt2017
GLIS1,Eichstaedt2017
GPR3,Eichstaedt2017
GSTA4,Eichstaedt2017
GTF2IRD2B,Eichstaedt2017
HIF1A,Eichstaedt2017
KCNK7,Eichstaedt2017
KDM3A,Eichstaedt2017
KRTAP5-8,Eichstaedt2017
LRP8,Eichstaedt2017
MAP4K2,Eichstaedt2017
MCM3,Eichstaedt2017
MCM6,Eichstaedt2017
METTL14,Eichstaedt2017
MUC12,Eichstaedt2017
NCF1,Eichstaedt2017
NR0B2,Eichstaedt2017
PDSS1,Eichstaedt2017
PLCB3,Eichstaedt2017
PLXDC2,Eichstaedt2017
PPP1CA,Eichstaedt2017
PTCD2,Eichstaedt2017
PTPRCAP,Eichstaedt2017
RHBDL2,Eichstaedt2017
RIMBP3C,Eichstaedt2017
RNF103,Eichstaedt2017
RP11-47I22.4,Eichstaedt2017
RPS10,Eichstaedt2017
SPATA31A6,Eichstaedt2017
TCIRG1,Eichstaedt2017
TEKT2,Eichstaedt2017
TMEM14A,Eichstaedt2017
TMEM181,Eichstaedt2017
TMEM239,Eichstaedt2017
TMEM55A,Eichstaedt2017
TMEM64,Eichstaedt2017
TMPRSS11BNL,Eichstaedt2017
TMPRSS11E,Eichstaedt2017
TOMM20L,Eichstaedt2017
TRAPPC3,Eichstaedt2017
TRIT1,Eichstaedt2017
TUBA3E,Eichstaedt2017
UGT2B17,Eichstaedt2017
UNC93B1,Eichstaedt2017
USP34,Eichstaedt2017
ZMYM1,Eichstaedt2017
ZMYM4,Eichstaedt2017
ZNF688,Eichstaedt2017
ACCN1,Zhou2013
ADCY3,Zhou2013
AFF2,Zhou2013
AMZ2P1,Zhou2013
ANP32D,Zhou2013
APP,Zhou2013
ARID1B,Zhou2013
ARMC8,Zhou2013
ARMCX2,Zhou2013
ATXN2L,Zhou2013
B3GNTL1,Zhou2013
BVES,Zhou2013
C11orf64,Zhou2013
C12orf26,Zhou2013
C13orf38-SOHLH2,Zhou2013
C14orf135,Zhou2013
C14orf184,Zhou2013
C16orf54,Zhou2013
C19orf61,Zhou2013
C21orf131,Zhou2013
CABIN1,Zhou2013
CADM2,Zhou2013
CCDC138,Zhou2013
CCDC36,Zhou2013
CCT6P1,Zhou2013
CD3E,Zhou2013
CEP350,Zhou2013
CEP70,Zhou2013
CHD6,Zhou2013
CLEC6A,Zhou2013
CNNM1,Zhou2013
CNR2,Zhou2013
CNTNAP2,Zhou2013
COL21A1,Zhou2013
CPPED1,Zhou2013
CTPS,Zhou2013
DDAH1,Zhou2013
DDB1,Zhou2013
DDX6,Zhou2013
DDX60,Zhou2013
DGKK,Zhou2013
DIRC3,Zhou2013
DLG2,Zhou2013
DMD,Zhou2013
DPY19L1P1,Zhou2013
DSG1,Zhou2013
DST,Zhou2013
DUSP22,Zhou2013
DYNC2H1,Zhou2013
EDA2R,Zhou2013
EVI5,Zhou2013
EXOC4,Zhou2013
EYS,Zhou2013
FABP5,Zhou2013
FAM120C,Zhou2013
FAM18A,Zhou2013
FAM35B,Zhou2013
FAM69A,Zhou2013
FAM9C,Zhou2013
FAP,Zhou2013
FGF13,Zhou2013
FOXA2,Zhou2013
FOXD1,Zhou2013
FOXI2,Zhou2013
FOXP1,Zhou2013
FOXR2,Zhou2013
GABRB1,Zhou2013
GCFC1,Zhou2013
GFI1,Zhou2013
GLYATL2,Zhou2013
GPR173,Zhou2013
GPT2,Zhou2013
GRIA4,Zhou2013
GSPT2,Zhou2013
GUSBP1,Zhou2013
GUSBP4,Zhou2013
GYPB,Zhou2013
GYPE,Zhou2013
HAGH,Zhou2013
HERC2P3,Zhou2013
HINT3,Zhou2013
HLA-DRA,Zhou2013
HOXD4,Zhou2013
HTR2C,Zhou2013
IFI6,Zhou2013
IFT88,Zhou2013
ITIH5L,Zhou2013
ITPKB,Zhou2013
ITSN2,Zhou2013
LOC285326,Zhou2013
LOC388692,Zhou2013
LOC440910,Zhou2013
LOC442459,Zhou2013
LOC645332,Zhou2013
LOC727924,Zhou2013
MACROD2,Zhou2013
MAGEA5,Zhou2013
MAGI3,Zhou2013
METTL9,Zhou2013
MIR3668,Zhou2013
MIR3675,Zhou2013
MIR548D2,Zhou2013
MRPS6,Zhou2013
MST4,Zhou2013
MTA3,Zhou2013
MTUS2,Zhou2013
NMUR2,Zhou2013
NUDT11,Zhou2013
OPHN1,Zhou2013
OPN5,Zhou2013
OPRM1,Zhou2013
OR4C3,Zhou2013
OR4N3P,Zhou2013
OR52M1,Zhou2013
OR5AK4P,Zhou2013
OXGR1,Zhou2013
P2RX7,Zhou2013
PAGE2,Zhou2013
PAK3,Zhou2013
PARD3B,Zhou2013
PBX3,Zhou2013
PBX4,Zhou2013
PDE11A,Zhou2013
PDE4DIP,Zhou2013
PFN4,Zhou2013
PID1,Zhou2013
PIK3C2G,Zhou2013
PIP4K2A,Zhou2013
PLAC8L1,Zhou2013
PPP1R2,Zhou2013
PRIM2,Zhou2013
QARS,Zhou2013
RALYL,Zhou2013
RANBP2,Zhou2013
RHAG,Zhou2013
ROR1,Zhou2013
RPS6KA6,Zhou2013
RPSAP58,Zhou2013
RSPH3,Zhou2013
S100A10,Zhou2013
SCMH1,Zhou2013
SENP1,Zhou2013
SENP7,Zhou2013
SGCD,Zhou2013
SGK3,Zhou2013
SHROOM4,Zhou2013
SIK2,Zhou2013
SKA3,Zhou2013
SMC1A,Zhou2013
SMPD3,Zhou2013
SORD,Zhou2013
SPANXN3,Zhou2013
ST18,Zhou2013
SUSD5,Zhou2013
SYN2,Zhou2013
SYNJ2,Zhou2013
TBC1D22B,Zhou2013
TBC1D5,Zhou2013
TCEAL2,Zhou2013
TMEM117,Zhou2013
TMEM164,Zhou2013
TMEM64,Zhou2013
TPTE,Zhou2013
TPTE2,Zhou2013
TRPC4AP,Zhou2013
TXNDC12,Zhou2013
UBE2MP1,Zhou2013
UBQLN2,Zhou2013
UFM1,Zhou2013
ULK4,Zhou2013
UNKL,Zhou2013
USP4,Zhou2013
UTP15,Zhou2013
UTRN,Zhou2013
VCX3B,Zhou2013
VPS13B,Zhou2013
VPS35,Zhou2013
YIPF6,Zhou2013
ZFHX3,Zhou2013
ZFYVE16,Zhou2013
ZFYVE9,Zhou2013
ZNF267,Zhou2013
ZNF407,Zhou2013
ANXA8,Zhou2013
FAAH2,Zhou2013
LOC646498,Zhou2013
LRRC67,Zhou2013
ANXA8L1,Zhou2013
COPS5,Zhou2013
CSPP1,Zhou2013
HLA-DQB1,Zhou2013
KLHDC8B,Zhou2013
LOC728643,Zhou2013
MAGEH1,Zhou2013
SPIN2A,Zhou2013
TCF24,Zhou2013
BAGE5,Zhou2013
CCDC71,Zhou2013
DUOX1,Zhou2013
HLA-DQA1,Zhou2013
LOC643650,Zhou2013
PAGE3,Zhou2013
PFKFB1,Zhou2013
RABEP2,Zhou2013
SNORD87,Zhou2013
SPIN2B,Zhou2013
ATP2A1,Zhou2013
BAGE2,Zhou2013
DUOXA1,Zhou2013
EFR3B,Zhou2013
ESYT3,Zhou2013
HLA-DRB1,Zhou2013
HOXD1,Zhou2013
LAMB2P1,Zhou2013
NCRNA00254,Zhou2013
PAGE5,Zhou2013
PPYR1,Zhou2013
SNHG6,Zhou2013
SPIN3,Zhou2013
TMEM138,Zhou2013
TRO,Zhou2013
ASB8,Zhou2013
BAGE3,Zhou2013
BEX5,Zhou2013
BTF3L4,Zhou2013
C16orf73,Zhou2013
C21orf62,Zhou2013
C2orf84,Zhou2013
C8orf45,Zhou2013
CYBASC3,Zhou2013
DUOXA2,Zhou2013
GABRA3,Zhou2013
GMIP,Zhou2013
GPRIN2,Zhou2013
GTF2H5,Zhou2013
HLA-DRB6,Zhou2013
HSD17B10,Zhou2013
KDM5C,Zhou2013
KIF22,Zhou2013
LAMB2,Zhou2013
LOC401022,Zhou2013
LOC441495,Zhou2013
LOC442454,Zhou2013
LOC729723,Zhou2013
MIR4271,Zhou2013
MRAS,Zhou2013
MTRNR2L10,Zhou2013
MYLK3,Zhou2013
N6AMT2,Zhou2013
PIK3CB,Zhou2013
POPDC3,Zhou2013
RBM27,Zhou2013
RHOA,Zhou2013
SH2B1,Zhou2013
SNORA11,Zhou2013
SPG20,Zhou2013
CIITA,Zhou2013
BAGE4,Zhou2013
BTF3,Zhou2013
C12orf54,Zhou2013
C13orf38,Zhou2013
C21orf49,Zhou2013
C3orf62,Zhou2013
C6orf112,Zhou2013
C6orf138,Zhou2013
CATSPERB,Zhou2013
CENPVL1,Zhou2013
COMMD8,Zhou2013
CRISP2,Zhou2013
CROCC,Zhou2013
CXCR5,Zhou2013
DAK,Zhou2013
DNAJA2,Zhou2013
DNAJC27,Zhou2013
DUOX2,Zhou2013
EDAR,Zhou2013
EDEM2,Zhou2013
FAHD1,Zhou2013
FAIM,Zhou2013
FAM104B,Zhou2013
FAM151B,Zhou2013
FAM76A,Zhou2013
GNA13,Zhou2013
GPX1,Zhou2013
HLA-DRB5,Zhou2013
HOXD3,Zhou2013
IL17D,Zhou2013
IPCEF1,Zhou2013
KAL1,Zhou2013
KCNN4,Zhou2013
KTI12,Zhou2013
LARS,Zhou2013
LOC375190,Zhou2013
LOC550643,Zhou2013
LPAR2,Zhou2013
MAGEA10,Zhou2013
MAGED1,Zhou2013
MAGED2,Zhou2013
METRNL,Zhou2013
MIR548AA2,Zhou2013
MRP63,Zhou2013
NECAB1,Zhou2013
OR4C45,Zhou2013
OR4M2,Zhou2013
ORC6,Zhou2013
PFKM,Zhou2013
PNRC2,Zhou2013
PTTG3P,Zhou2013
RGNEF,Zhou2013
RIBC1,Zhou2013
RRAGB,Zhou2013
SERAC1,Zhou2013
SLC5A3,Zhou2013
SLFNL1,Zhou2013
SNORA22,Zhou2013
STARD8,Zhou2013
SUSD2,Zhou2013
SYT15,Zhou2013
TCEAL6,Zhou2013
TRMT11,Zhou2013
TSPYL2,Zhou2013
TUFM,Zhou2013
TXNDC6,Zhou2013
USP19,Zhou2013
ZG16,Zhou2013
EPAS1,Yi2010
C1orf124,Yi2010
DISC1,Yi2010
ATP6V1E2,Yi2010
SPP1,Yi2010
PKLR,Yi2010
C4orf7,Yi2010
PSME2,Yi2010
OR10X1,Yi2010
FAM9C,Yi2010
LRRC3B,Yi2010
KRTAP21-2,Yi2010
HIST1H2BE,Yi2010
TTLL3,Yi2010
HIST1H4B,Yi2010
ACVR1B,Yi2010
FXYD6,Yi2010
NAGLU,Yi2010
MDH1B,Yi2010
OR6Y1,Yi2010
HBB,Yi2010
OTX1,Yi2010
MBNL1,Yi2010
IFI27L1,Yi2010
C18orf55,Yi2010
RFX3,Yi2010
HBG2,Yi2010
FANCA,Yi2010
HIST1H3C,Yi2010
TMEM206,Yi2010
SPTA1,Yi2010
TMSB4X,Yi2010
HFE,Yi2010
ACVRL1,Yi2010
ABAT,Simonson2010apriorilist
ACE,Simonson2010apriorilist
ACTN4,Simonson2010apriorilist
ADA,Simonson2010apriorilist
ADAM17,Simonson2010apriorilist
ADIPOQ,Simonson2010apriorilist
ADM,Simonson2010apriorilist
ADORA1,Simonson2010apriorilist
ADORA2A,Simonson2010apriorilist
ADORA2B,Simonson2010apriorilist
ADRB1,Simonson2010apriorilist
ADRB2,Simonson2010apriorilist
AGTR1,Simonson2010apriorilist
AKT1,Simonson2010apriorilist
AKT2,Simonson2010apriorilist
AKT3,Simonson2010apriorilist
ALB,Simonson2010apriorilist
ALDH2,Simonson2010apriorilist
ALDOC,Simonson2010apriorilist
ANG,Simonson2010apriorilist
ANGPT1,Simonson2010apriorilist
ANGPTL4,Simonson2010apriorilist
APOE,Simonson2010apriorilist
APOLD1,Simonson2010apriorilist
ARG2,Simonson2010apriorilist
ARNT,Simonson2010apriorilist
ARNT2,Simonson2010apriorilist
ASCL2,Simonson2010apriorilist
ATG5,Simonson2010apriorilist
ATP1B1,Simonson2010apriorilist
BCL2,Simonson2010apriorilist
BCL2L1,Simonson2010apriorilist
BIRC2,Simonson2010apriorilist
BNIP3,Simonson2010apriorilist
CA9,Simonson2010apriorilist
CABC1,Simonson2010apriorilist
CALCA,Simonson2010apriorilist
CALCB,Simonson2010apriorilist
CAMK2D,Simonson2010apriorilist
CAPN2,Simonson2010apriorilist
CASP1,Simonson2010apriorilist
CAV1,Simonson2010apriorilist
CCL2,Simonson2010apriorilist
CD38,Simonson2010apriorilist
CDKN1A,Simonson2010apriorilist
CFTR,Simonson2010apriorilist
CHRNA4,Simonson2010apriorilist
CHRNA7,Simonson2010apriorilist
CHRNB2,Simonson2010apriorilist
CITED2,Simonson2010apriorilist
CLDN3,Simonson2010apriorilist
CPS1,Simonson2010apriorilist
CREBBP,Simonson2010apriorilist
CXCR4,Simonson2010apriorilist
CYB5R4,Simonson2010apriorilist
CYGB,Simonson2010apriorilist
CYP17A1,Simonson2010apriorilist
CYP19A1,Simonson2010apriorilist
CYP1A1,Simonson2010apriorilist
CYP1A2,Simonson2010apriorilist
CYP1B1,Simonson2010apriorilist
CYP26A1,Simonson2010apriorilist
CYP2A7,Simonson2010apriorilist
CYP2B6,Simonson2010apriorilist
CYP2C18,Simonson2010apriorilist
CYP2C19,Simonson2010apriorilist
CYP2C8,Simonson2010apriorilist
CYP2C9,Simonson2010apriorilist
CYP2E1,Simonson2010apriorilist
CYP2F1,Simonson2010apriorilist
CYP2U1,Simonson2010apriorilist
CYP3A4,Simonson2010apriorilist
CYP3A5,Simonson2010apriorilist
CYP3A7,Simonson2010apriorilist
CYP4A11,Simonson2010apriorilist
CYP4B1,Simonson2010apriorilist
CYP4F12,Simonson2010apriorilist
CYP4F2,Simonson2010apriorilist
CYP4F3,Simonson2010apriorilist
CYP8B1,Simonson2010apriorilist
DDAH1,Simonson2010apriorilist
DDAH2,Simonson2010apriorilist
DDIT4,Simonson2010apriorilist
DPP4,Simonson2010apriorilist
ECE1,Simonson2010apriorilist
EDN1,Simonson2010apriorilist
EDNRA,Simonson2010apriorilist
EDNRB,Simonson2010apriorilist
EGFR,Simonson2010apriorilist
EGLN1,Simonson2010apriorilist
EGLN2,Simonson2010apriorilist
EGLN3,Simonson2010apriorilist
ENG,Simonson2010apriorilist
EP300,Simonson2010apriorilist
EPAS1,Simonson2010apriorilist
EPHX2,Simonson2010apriorilist
EPO,Simonson2010apriorilist
ERCC3,Simonson2010apriorilist
FLT1,Simonson2010apriorilist
FRAP1,Simonson2010apriorilist
GCH1,Simonson2010apriorilist
GCHFR,Simonson2010apriorilist
GIMAP1,Simonson2010apriorilist
GIMAP5,Simonson2010apriorilist
GPR182,Simonson2010apriorilist
GPX1,Simonson2010apriorilist
GUCY1A3,Simonson2010apriorilist
HAAO,Simonson2010apriorilist
HBA1,Simonson2010apriorilist
HBB,Simonson2010apriorilist
HBD,Simonson2010apriorilist
HBE1,Simonson2010apriorilist
HBG2,Simonson2010apriorilist
HBM,Simonson2010apriorilist
HBQ1,Simonson2010apriorilist
HBZ,Simonson2010apriorilist
HIF1A,Simonson2010apriorilist
HIF3A,Simonson2010apriorilist
HMOX1,Simonson2010apriorilist
HMOX2,Simonson2010apriorilist
HRH1,Simonson2010apriorilist
HSD11B2,Simonson2010apriorilist
HSP90AA1,Simonson2010apriorilist
HSP90AB1,Simonson2010apriorilist
HSP90B1,Simonson2010apriorilist
HYOU1,Simonson2010apriorilist
ICAM1,Simonson2010apriorilist
IFNG,Simonson2010apriorilist
IL10,Simonson2010apriorilist
IL18,Simonson2010apriorilist
IL1B,Simonson2010apriorilist
INDO,Simonson2010apriorilist
