gene_symbol,study
ADAMTSL1,Bigham2009
ADRA1A,Bigham2009
ADRA1B,Bigham2009
AK056561,Bigham2009
ARNT2,Bigham2009
ATP1A1,Bigham2009
ATP1A2,Bigham2009
C17orf54,Bigham2009
CDH1,Bigham2009
CHST11,Bigham2009
COPS5,Bigham2009
CPNE4,Bigham2009
CXCR4,Bigham2009
EDN1,Bigham2009
EDNRA,Bigham2009
EGLN1,Bigham2009
EGLN2,Bigham2009
ELF2,Bigham2009
ERBB4,Bigham2009
ERG,Bigham2009
F13A1,Bigham2009
FAM107B,Bigham2009
FCHO2,Bigham2009
FRAP1,Bigham2009
GFRA1,Bigham2009
GNA15,Bigham2009
IGFBP1,Bigham2009
IGFBP2,Bigham2009
IL1A,Bigham2009
IL1B,Bigham2009
IL6,Bigham2009
INPP5D,Bigham2009
KCNK10,Bigham2009
KCNK2,Bigham2009
KCNK5,Bigham2009
KIAA1026,Bigham2009
LDB2,Bigham2009
LDLRAD3,Bigham2009
MDM2,Bigham2009
MMP2,Bigham2009
MPRIP,Bigham2009
NOS1,Bigham2009
NOS2A,Bigham2009
NOTCH1,Bigham2009
NRP1,Bigham2009
NRP2,Bigham2009
OLAH,Bigham2009
PEX14,Bigham2009
PIK3CA,Bigham2009
PIK3CG,Bigham2009
POLRA,Bigham2009
PPP2R5C,Bigham2009
PRKAA1,Bigham2009
PRKAA2,Bigham2009
PSMD13,Bigham2009
PTPRD,Bigham2009
PTPRM,Bigham2009
RBM47,Bigham2009
RP5-1022P6.2,Bigham2009
SLC4A8,Bigham2009
SNAI3,Bigham2009
SPRY2,Bigham2009
TF,Bigham2009
TGFA,Bigham2009
TMEM169,Bigham2009
TNC,Bigham2009
TNF,Bigham2009
VAV2,Bigham2009
VEGF,Bigham2009
ACCSL,Eichstaedt2017
ADAM7,Eichstaedt2017
AFP,Eichstaedt2017
AGO4,Eichstaedt2017
AHSA2,Eichstaedt2017
AK4,Eichstaedt2017
AKAP6,Eichstaedt2017
AL132989.1,Eichstaedt2017
AL591025.1,Eichstaedt2017
ANKRD13D,Eichstaedt2017
ANKRD36,Eichstaedt2017
APBB1IP,Eichstaedt2017
APOH,Eichstaedt2017
ARID1B,Eichstaedt2017
ARID4A,Eichstaedt2017
ASCL5,Eichstaedt2017
ATG2B,Eichstaedt2017
ATP6V0D2,Eichstaedt2017
BRCA2,Eichstaedt2017
BX088651.2,Eichstaedt2017
C10orf112,Eichstaedt2017
C1orf50,Eichstaedt2017
RP5-994D16.9,Eichstaedt2017
C6orf1,Eichstaedt2017
CASR,Eichstaedt2017
CCDC101,Eichstaedt2017
CCDC40,Eichstaedt2017
CD8A,Eichstaedt2017
CD8B,Eichstaedt2017
CHCHD3,Eichstaedt2017
CHD7,Eichstaedt2017
CHMP3,Eichstaedt2017
CLIC4,Eichstaedt2017
CNTNAP3B,Eichstaedt2017
COL21A1,Eichstaedt2017
COL8A2,Eichstaedt2017
COL9A2,Eichstaedt2017
CPT2,Eichstaedt2017
DARS,Eichstaedt2017
DDX10,Eichstaedt2017
DEFA5,Eichstaedt2017
DLG2,Eichstaedt2017
DMRTB1,Eichstaedt2017
DNAJC4,Eichstaedt2017
