gene_symbol,occurrence,studies
ADAM17,7,Simonson2010apriorilist;Alkorta.Aranburu2012;Huerta.sanchez2013hypoxgeneset;Witt2019;Halllist1;halllist2;yulist2
CA9,7,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2;Ortiz.Barahona2010HRElocations
EDNRB,7,Simonson2010apriorilist;Bigham2010;Udpa204;Bigham2014canidatelist;Halllist1;halllist2;Ortiz.Barahona2010HRElocations
EP300,7,Simonson2010apriorilist;Peng2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
HIF3A,7,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Halllist1;yulist2
SOD2,7,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;Halllist1;halllist2
VHL,7,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;Halllist1;yulist2
PRKCE,7,Simonson2010;Peng2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Arciero2018;yulist1;yulist2
PTGIS,7,Simonson2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;O.Brien2019;Witt2019;yulist2;Moore2017
VEGFC,7,Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Artigas2015;yulist1;Bigham2014canidatelist;yulist2
ADRA1B,6,Bigham2009;Bigham2010;Sheinfeldt2012;yulist1;Yang2017;Bigham2014canidatelist
CDH1,6,Bigham2009;Bigham2010;Eichstaedt2014;Sheinfeldt2012;Bigham2014canidatelist;Witt2019
MDM2,6,Bigham2009;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Bigham2014canidatelist;yulist2
NRP1,6,Bigham2009;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;Bigham2014canidatelist
NRP2,6,Bigham2009;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;Bigham2014canidatelist
PIK3CG,6,Bigham2009;Simonson2010apriorilist;Bigham2010;Sheinfeldt2012;Bigham2014canidatelist;yulist2
PRKAA2,6,Bigham2009;Bigham2010;Eichstaedt2014;Crawford2017;yulist1;Bigham2014canidatelist
TNC,6,Bigham2009;Bigham2010;Sheinfeldt2012;Bigham2014canidatelist;Bigham2014diffexprgenes;Witt2019
PYGM,6,Eichstaedt2017;Simonson2010apriorilist;Eichstaedt2014;Huerta.sanchez2013hypoxgeneset;yulist1;Witt2019
BAD,6,Eichstaedt2017;Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori;yulist1;yulist2
HLA-DQB1,6,Zhou2013;Simonson2010;Udpa204;Arciero2018;Yang2017;Witt2019
PIK3CB,6,Zhou2013;Simonson2010apriorilist;Bigham2010;Sheinfeldt2012;Bigham2014canidatelist;yulist2
BNIP3,6,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist2;Ortiz.Barahona2010HRElocations
CITED2,6,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist2;Ortiz.Barahona2010HRElocations
CREBBP,6,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
CYP17A1,6,Simonson2010apriorilist;Simonson2010;Eichstaedt2014;Halllist1;halllist2;Wuren2014
FLT1,6,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist
HMOX1,6,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
ICAM1,6,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;Witt2019;yulist2
MT3,6,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
NOS3,6,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Halllist1
SOD3,6,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist2
UCN3,6,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
RBX1,6,Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;Bigham2014canidatelist;yulist2
NDRG1,6,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;yulist1;yulist2;Ortiz.Barahona2010HRElocations
STC2,6,Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori;yulist1;yulist2;Ortiz.Barahona2010HRElocations
PRKG1,6,Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015;Eichstaedt2015apriori;Sheinfeldt2012;Arciero2018
FOXO1,6,Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori;Alkorta.Aranburu2012;Sheinfeldt2012;Moore2017
THRB,6,Sheinfeldt2012;Witt2019;Halllist1;halllist2;Moore2017;Ortiz.Barahona2010HRElocations
BHLHE41,6,Huerta.sanchez2013;O.Brien2019;Witt2019;Halllist1;halllist2;Moore2017
COPS5,5,Bigham2009;Zhou2013;Bigham2010;Yang2017;Bigham2014canidatelist
IL6,5,Bigham2009;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Bigham2014canidatelist
PIK3CA,5,Bigham2009;Simonson2010apriorilist;Bigham2010;Bigham2014canidatelist;yulist2
SPRY2,5,Bigham2009;Bigham2010;Eichstaedt2014;Sheinfeldt2012;Bigham2014canidatelist
CASR,5,Eichstaedt2017;Bigham2010;yulist1;Yang2017;yulist2
DLG2,5,Eichstaedt2017;Zhou2013;Sheinfeldt2012;Udpa204;Ortiz.Barahona2010HRElocations
MUC3A,5,Eichstaedt2017;Eichstaedt2014;Eichstaedt2015;Sheinfeldt2012;Hu2017
ANP32D,5,Zhou2013;Eichstaedt2014;Witt2019;Halllist1;halllist2
SGK3,5,Zhou2013;Simonson2010;Sheinfeldt2012;Witt2019;Gou2014
ATP6V1E2,5,Yi2010;Simonson2010;Peng2010;O.Brien2019;Arciero2018
ABAT,5,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;halllist2;yulist2
ACE,5,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset
AKT1,5,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2
ANGPTL4,5,Simonson2010apriorilist;Simonson2010;Huerta.sanchez2013hypoxgeneset;Halllist1;yulist2
APOLD1,5,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2;Ortiz.Barahona2010HRElocations
ATP1B1,5,Simonson2010apriorilist;Bigham2010;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
CHRNA4,5,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;Gou2014;yulist2
DDIT4,5,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2;Ortiz.Barahona2010HRElocations
HSP90B1,5,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
HYOU1,5,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;halllist2;yulist2
ITPR1,5,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist2
MB,5,Simonson2010apriorilist;Bigham2010;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
NARFL,5,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;Gou2014;Halllist1
PLOD2,5,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;Artigas2015;yulist2;Ortiz.Barahona2010HRElocations
RYR1,5,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2;Moore2017
TH,5,Simonson2010apriorilist;Bigham2010;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
UBQLN1,5,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist2
CDH13,5,Simonson2010;Sheinfeldt2012;Arciero2018;Moore2017;Ortiz.Barahona2010HRElocations
BACH1,5,Simonson2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;yulist2
LEP,5,Bigham2010;Sheinfeldt2012;Gou2014;halllist2;yulist2
CUL2,5,Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist2;Clemente2014
ADAM8,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;Gou2014;yulist2
AJUBA,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;Halllist1;yulist2
AQP1,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
CBS,5,Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015;Eichstaedt2015apriori;Moore2017
E2F1,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
FAM162A,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;yulist1;yulist2
GATA6,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
KCNK3,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
MTOR,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Bigham2014canidatelist;halllist2;yulist2
PDK1,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2;Ortiz.Barahona2010HRElocations
SIRT1,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;Halllist1;yulist2
STC1,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2;Ortiz.Barahona2010HRElocations
TP53,5,Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori;yulist2;Moore2017
UBB,5,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;yulist1;yulist2
TBX5,5,Eichstaedt2014;Crawford2017;yulist1;Halllist1;Moore2017
VAV3,5,Sheinfeldt2012;Witt2019;Halllist1;halllist2;Moore2017
ENO1,5,Sheinfeldt2012;yulist1;Halllist1;yulist2;Ortiz.Barahona2010HRElocations
BMP2,5,Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2;Ortiz.Barahona2010HRElocations
CIC,5,Udpa204;Witt2019;Halllist1;halllist2;Moore2017
BRINP3,5,Crawford2017;O.Brien2019;Witt2019;Halllist1;Moore2017
ATP1A2,4,Bigham2009;Bigham2010;Eichstaedt2014;Bigham2014canidatelist
IGFBP2,4,Bigham2009;Bigham2010;Eichstaedt2014;Bigham2014canidatelist
IL1B,4,Bigham2009;Simonson2010apriorilist;Bigham2010;Bigham2014canidatelist
SNAI3,4,Bigham2009;Bigham2010;yulist1;Bigham2014canidatelist
TF,4,Bigham2009;Bigham2010;Bigham2014canidatelist;Ortiz.Barahona2010HRElocations
TGFA,4,Bigham2009;Bigham2010;Arciero2018;Bigham2014canidatelist
TNF,4,Bigham2009;Simonson2010apriorilist;Bigham2010;Bigham2014canidatelist
GPR126,4,Eichstaedt2017;Sheinfeldt2012;Artigas2015;Halllist1
KITLG,4,Eichstaedt2017;Simonson2010;Alkorta.Aranburu2012;Sheinfeldt2012
NDUFS8,4,Eichstaedt2017;Eichstaedt2014;Eichstaedt2015;Clemente2014
YTHDC1,4,Eichstaedt2017;Eichstaedt2014;Bigham2014diffexprgenes;Clemente2014
PRDX5,4,Eichstaedt2017;Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori
SERPINE1,4,Eichstaedt2017;Eichstaedt2014;Eichstaedt2015;Ortiz.Barahona2010HRElocations
SSH3,4,Eichstaedt2017;Eichstaedt2014;Alkorta.Aranburu2012;Arciero2018
ADRBK1,4,Eichstaedt2017;Eichstaedt2014;Alkorta.Aranburu2012;Moore2017
CHKA,4,Eichstaedt2017;Eichstaedt2014;Eichstaedt2015;Clemente2014
RAD9A,4,Eichstaedt2017;Eichstaedt2014;Alkorta.Aranburu2012;Hu2017
TCIRG1,4,Eichstaedt2017;Eichstaedt2014;Eichstaedt2015;Clemente2014
CNTNAP2,4,Zhou2013;Alkorta.Aranburu2012;Sheinfeldt2012;Arciero2018
DDAH1,4,Zhou2013;Simonson2010apriorilist;yulist1;yulist2
GPT2,4,Zhou2013;Alkorta.Aranburu2012;Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PARD3B,4,Zhou2013;Simonson2010;Bigham2010;Arciero2018
PDE11A,4,Zhou2013;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012
PIK3C2G,4,Zhou2013;Simonson2010apriorilist;Witt2019;yulist2
PRIM2,4,Zhou2013;Simonson2010;Udpa204;Clemente2014
TPTE,4,Zhou2013;Simonson2010apriorilist;Sheinfeldt2012;yulist2
TPTE2,4,Zhou2013;Simonson2010apriorilist;Sheinfeldt2012;yulist2
HLA-DRB1,4,Zhou2013;Simonson2010;Alkorta.Aranburu2012;Udpa204
SH2B1,4,Zhou2013;Eichstaedt2014;Sheinfeldt2012;Witt2019
DUOX2,4,Zhou2013;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1
GPX1,4,Zhou2013;Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori
USP19,4,Zhou2013;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist2
PSME2,4,Yi2010;Eichstaedt2014;yulist1;yulist2
HFE,4,Yi2010;Halllist1;halllist2;Wuren2014
ACVRL1,4,Yi2010;yulist1;yulist2;Ortiz.Barahona2010HRElocations
ADM,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist2;Ortiz.Barahona2010HRElocations
AKT3,4,Simonson2010apriorilist;Simonson2010;Sheinfeldt2012;yulist2
ALDH2,4,Simonson2010apriorilist;Bigham2010;Sheinfeldt2012;Clemente2014
ARG2,4,Simonson2010apriorilist;Witt2019;Halllist1;halllist2
ASCL2,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
BCL2,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;Arciero2018;yulist2
BIRC2,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
CASP1,4,Simonson2010apriorilist;Huerta.sanchez2013;Huerta.sanchez2013hypoxgeneset;Witt2019
CAV1,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist2;Ortiz.Barahona2010HRElocations
CCL2,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;Halllist1;halllist2
CHRNA7,4,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
CYGB,4,Simonson2010apriorilist;Bigham2010;Sheinfeldt2012;yulist2
CYP2E1,4,Simonson2010apriorilist;Simonson2010;Witt2019;halllist2
DPP4,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
ECE1,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;Witt2019;Moore2017
ERCC3,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
GUCY1A3,4,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori
HBA1,4,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori
HBE1,4,Simonson2010apriorilist;Simonson2010;Bigham2010;Alkorta.Aranburu2012
HSD11B2,4,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
IL18,4,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset
ITGA2,4,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
ITPR2,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
KCNA5,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
P2RX3,4,Simonson2010apriorilist;Simonson2010;Huerta.sanchez2013hypoxgeneset;yulist2
PDE5A,4,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset
PDGFB,4,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;Ortiz.Barahona2010HRElocations
PDIA2,4,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset
PLAT,4,Simonson2010apriorilist;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist2
PLOD1,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist2;Ortiz.Barahona2010HRElocations
PTEN,4,Simonson2010apriorilist;Simonson2010;yulist2;Ortiz.Barahona2010HRElocations
RORC,4,Simonson2010apriorilist;yulist1;yulist2;Ortiz.Barahona2010HRElocations
SLC2A8,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
SMAD3,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist2;Clemente2014
SOD1,4,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori
STAT5B,4,Simonson2010apriorilist;Simonson2010;Huerta.sanchez2013hypoxgeneset;Clemente2014
TGFB1,4,Simonson2010apriorilist;Bigham2010;Huerta.sanchez2013hypoxgeneset;halllist2
TGFB2,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;Artigas2015;yulist2
THBS1,4,Simonson2010apriorilist;Simonson2010;Huerta.sanchez2013hypoxgeneset;yulist2
TXN2,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist1;yulist2
UCP3,4,Simonson2010apriorilist;Huerta.sanchez2013hypoxgeneset;yulist2;Horscroft2017
PAX2,4,Simonson2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Ortiz.Barahona2010HRElocations
ASTN2,4,Simonson2010;Sheinfeldt2012;Artigas2015;Arciero2018
CELSR1,4,Simonson2010;Sheinfeldt2012;Arciero2018;Ortiz.Barahona2010HRElocations
CPA6,4,Simonson2010;Bigham2010;Alkorta.Aranburu2012;Sheinfeldt2012
CSMD1,4,Simonson2010;Alkorta.Aranburu2012;Sheinfeldt2012;Arciero2018
ITGB8,4,Simonson2010;Sheinfeldt2012;Bigham2014diffexprgenes;Clemente2014
SATB1,4,Simonson2010;Bigham2010;Eichstaedt2014;Bigham2014canidatelist
PDE4D,4,Simonson2010;Sheinfeldt2012;Arciero2018;Clemente2014
SDK1,4,Simonson2010;Bigham2010;Alkorta.Aranburu2012;Arciero2018
SLIT2,4,Simonson2010;Sheinfeldt2012;Arciero2018;Ortiz.Barahona2010HRElocations
ZBTB20,4,Simonson2010;Alkorta.Aranburu2012;Sheinfeldt2012;Ortiz.Barahona2010HRElocations
DYSF,4,Simonson2010;Peng2010;Sheinfeldt2012;Ortiz.Barahona2010HRElocations
HIF1AN,4,Simonson2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist2
KIAA1958,4,Simonson2010;Sheinfeldt2012;Udpa204;Ortiz.Barahona2010HRElocations
OAS1,4,Peng2010;Bigham2010;Sheinfeldt2012;Udpa204
OAS3,4,Peng2010;Bigham2010;Udpa204;Arciero2018
PDGFC,4,Peng2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Clemente2014
TGFBR3,4,Peng2010;Artigas2015;Halllist1;yulist2
MAPKAPK5,4,Bigham2010;Sheinfeldt2012;Bigham2014diffexprgenes;Clemente2014
RPH3A,4,Bigham2010;Sheinfeldt2012;Udpa204;Clemente2014
KDR,4,Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012
ANGPT4,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist2
CCNB1,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist2
CD34,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2
EGR1,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2
FABP1,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2
GNB1,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Gou2014;yulist2
GNGT1,4,Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori;yulist2
HIPK2,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2
LMNA,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2
MDM4,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;yulist2
MYOCD,4,Eichstaedt2014apriorilist;Eichstaedt2015apriori;yulist1;yulist2
