gene_symbol,occurrence,studies
EGLN1,20,Bigham2009;Simonson2010apriorilist;Simonson2010;Peng2010;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;O.Brien2019;Arciero2018;Hu2017;yulist1;Yang2017;Bigham2014canidatelist;Halllist1;halllist2;yulist2;Moore2017;Ortiz.Barahona2010HRElocations;Wuren2014
EPAS1,19,Eichstaedt2017;Yi2010;Simonson2010apriorilist;Simonson2010;Peng2010;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;O.Brien2019;Arciero2018;yulist1;Yang2017;Witt2019;Gou2014;Halllist1;halllist2;yulist2;Moore2017
PRKAA1,15,Bigham2009;Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Crawford2017;O.Brien2019;yulist1;Bigham2014canidatelist;Bigham2014;Halllist1;halllist2;yulist2;Moore2017
EDNRA,12,Bigham2009;Simonson2010apriorilist;Simonson2010;Bigham2010;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;Bigham2014;Witt2019;Halllist1;halllist2;yulist2;Moore2017
EGLN2,12,Bigham2009;Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Artigas2015;yulist1;Bigham2014canidatelist;Halllist1;yulist2
PPARA,12,Simonson2010apriorilist;Simonson2010;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;Udpa204;O.Brien2019;Halllist1;halllist2;yulist2;Moore2017;Horscroft2017;Wuren2014
ARNT2,11,Bigham2009;Simonson2010apriorilist;Bigham2010;Eichstaedt2014;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist1;Bigham2014canidatelist;halllist2;yulist2;Moore2017
VEGFB,10,Eichstaedt2017;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2014;Eichstaedt2015apriori;yulist1;Halllist1;yulist2;Moore2017;Ortiz.Barahona2010HRElocations
HIF1A,10,Eichstaedt2017;Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;Halllist1;halllist2;yulist2
HBB,10,Yi2010;Simonson2010apriorilist;Simonson2010;Peng2010otherstudyoverlap;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Halllist1;halllist2;Wuren2014
ARNT,10,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;Artigas2015;Yang2017;Halllist1;yulist2
EGLN3,10,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;yulist1;Yang2017;Halllist1;yulist2;Ortiz.Barahona2010HRElocations
EDN1,9,Bigham2009;Simonson2010apriorilist;Bigham2010;Huerta.sanchez2013hypoxgeneset;yulist1;Yang2017;Bigham2014canidatelist;yulist2;Ortiz.Barahona2010HRElocations
NOS1,9,Bigham2009;Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;halllist2;yulist2
NOTCH1,9,Bigham2009;Simonson2010;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Arciero2018;yulist1;Bigham2014canidatelist;yulist2
EPO,9,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;Halllist1;yulist2
HMOX2,9,Simonson2010apriorilist;Simonson2010;Huerta.sanchez2013hypoxgeneset;Witt2019;Halllist1;halllist2;yulist2;Moore2017;Wuren2014
KCNMA1,9,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist1;Bigham2014canidatelist;yulist2;Ortiz.Barahona2010HRElocations
NOS2,9,Simonson2010apriorilist;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Crawford2017;yulist1;Bigham2014canidatelist;Halllist1;yulist2;Moore2017
SLC8A1,9,Simonson2010apriorilist;Simonson2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;Arciero2018;yulist1;yulist2
VEGFA,9,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;yulist2;Horscroft2017;Ortiz.Barahona2010HRElocations
PGF,8,Simonson2010apriorilist;Bigham2010;Eichstaedt2014apriorilist;Eichstaedt2015apriori;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;Halllist1;yulist2
RORA,8,Simonson2010apriorilist;Alkorta.Aranburu2012;Sheinfeldt2012;yulist1;Witt2019;Halllist1;yulist2;Ortiz.Barahona2010HRElocations
RYR2,8,Simonson2010apriorilist;Alkorta.Aranburu2012;Sheinfeldt2012;Huerta.sanchez2013hypoxgeneset;yulist1;Halllist1;halllist2;yulist2
CXCR4,7,Bigham2009;Simonson2010apriorilist;Bigham2010;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;yulist2;Ortiz.Barahona2010HRElocations
MMP2,7,Bigham2009;Simonson2010apriorilist;Bigham2010;Huerta.sanchez2013hypoxgeneset;Bigham2014canidatelist;halllist2;yulist2
PKLR,7,Yi2010;Simonson2010;Eichstaedt2014;Halllist1;halllist2;yulist2;Wuren2014
HBG2,7,Yi2010;Simonson2010apriorilist;Simonson2010;Bigham2010;Alkorta.Aranburu2012;Halllist1;Wuren2014
