gene_symbol,cms_score,study,occurance
EGLN1,11.2514,Bigham2009,20
EGLN1,11.2514,Simonson2010apriorilist,20
EGLN1,11.2514,Simonson2010,20
EGLN1,11.2514,Peng2010,20
EGLN1,11.2514,Bigham2010,20
EGLN1,11.2514,Eichstaedt2014apriorilist,20
EGLN1,11.2514,Eichstaedt2015apriori,20
EGLN1,11.2514,Huerta.sanchez2013hypoxgeneset,20
EGLN1,11.2514,O.Brien2019,20
EGLN1,11.2514,Arciero2018,20
EGLN1,11.2514,Hu2017,20
EGLN1,11.2514,yulist1,20
EGLN1,11.2514,Yang2017,20
EGLN1,11.2514,Bigham2014canidatelist,20
EGLN1,11.2514,Halllist1,20
EGLN1,11.2514,halllist2,20
EGLN1,11.2514,yulist2,20
EGLN1,11.2514,Moore2017,20
EGLN1,11.2514,Ortiz.Barahona2010HRElocations,20
EGLN1,11.2514,Wuren2014,20
EPAS1,8.7154,Eichstaedt2017,19
EPAS1,8.7154,Yi2010,19
EPAS1,8.7154,Simonson2010apriorilist,19
EPAS1,8.7154,Simonson2010,19
EPAS1,8.7154,Peng2010,19
EPAS1,8.7154,Bigham2010,19
EPAS1,8.7154,Eichstaedt2014apriorilist,19
EPAS1,8.7154,Eichstaedt2015apriori,19
EPAS1,8.7154,Huerta.sanchez2013hypoxgeneset,19
EPAS1,8.7154,O.Brien2019,19
EPAS1,8.7154,Arciero2018,19
EPAS1,8.7154,yulist1,19
EPAS1,8.7154,Yang2017,19
EPAS1,8.7154,Witt2019,19
EPAS1,8.7154,Gou2014,19
EPAS1,8.7154,Halllist1,19
EPAS1,8.7154,halllist2,19
EPAS1,8.7154,yulist2,19
EPAS1,8.7154,Moore2017,19
PRKAA1,13.9109,Bigham2009,15
PRKAA1,13.9109,Simonson2010apriorilist,15
PRKAA1,13.9109,Bigham2010,15
PRKAA1,13.9109,Eichstaedt2014apriorilist,15
PRKAA1,13.9109,Eichstaedt2015apriori,15
PRKAA1,13.9109,Huerta.sanchez2013hypoxgeneset,15
PRKAA1,13.9109,Crawford2017,15
PRKAA1,13.9109,O.Brien2019,15
PRKAA1,13.9109,yulist1,15
PRKAA1,13.9109,Bigham2014canidatelist,15
PRKAA1,13.9109,Bigham2014,15
PRKAA1,13.9109,Halllist1,15
PRKAA1,13.9109,halllist2,15
PRKAA1,13.9109,yulist2,15
PRKAA1,13.9109,Moore2017,15
EGLN2,9.35824,Bigham2009,12
EGLN2,9.35824,Simonson2010apriorilist,12
EGLN2,9.35824,Bigham2010,12
EGLN2,9.35824,Eichstaedt2014apriorilist,12
EGLN2,9.35824,Eichstaedt2014,12
EGLN2,9.35824,Eichstaedt2015apriori,12
EGLN2,9.35824,Huerta.sanchez2013hypoxgeneset,12
EGLN2,9.35824,Artigas2015,12
EGLN2,9.35824,yulist1,12
EGLN2,9.35824,Bigham2014canidatelist,12
EGLN2,9.35824,Halllist1,12
EGLN2,9.35824,yulist2,12
ARNT2,12.3535,Bigham2009,11
ARNT2,12.3535,Simonson2010apriorilist,11
ARNT2,12.3535,Bigham2010,11
ARNT2,12.3535,Eichstaedt2014,11
ARNT2,12.3535,Sheinfeldt2012,11
ARNT2,12.3535,Huerta.sanchez2013hypoxgeneset,11
ARNT2,12.3535,yulist1,11
ARNT2,12.3535,Bigham2014canidatelist,11
ARNT2,12.3535,halllist2,11
ARNT2,12.3535,yulist2,11
ARNT2,12.3535,Moore2017,11
EGLN3,7.68818,Simonson2010apriorilist,10
EGLN3,7.68818,Bigham2010,10
EGLN3,7.68818,Eichstaedt2014apriorilist,10
EGLN3,7.68818,Eichstaedt2015apriori,10
EGLN3,7.68818,Huerta.sanchez2013hypoxgeneset,10
EGLN3,7.68818,yulist1,10
EGLN3,7.68818,Yang2017,10
EGLN3,7.68818,Halllist1,10
EGLN3,7.68818,yulist2,10
EGLN3,7.68818,Ortiz.Barahona2010HRElocations,10
VEGFB,7.64663,Eichstaedt2017,10
VEGFB,7.64663,Bigham2010,10
VEGFB,7.64663,Eichstaedt2014apriorilist,10
VEGFB,7.64663,Eichstaedt2014,10
VEGFB,7.64663,Eichstaedt2015apriori,10
VEGFB,7.64663,yulist1,10
VEGFB,7.64663,Halllist1,10
VEGFB,7.64663,yulist2,10
VEGFB,7.64663,Moore2017,10
VEGFB,7.64663,Ortiz.Barahona2010HRElocations,10
KCNMA1,12.5072,Simonson2010apriorilist,9
KCNMA1,12.5072,Eichstaedt2014apriorilist,9
KCNMA1,12.5072,Eichstaedt2015apriori,9
KCNMA1,12.5072,Sheinfeldt2012,9
KCNMA1,12.5072,Huerta.sanchez2013hypoxgeneset,9
KCNMA1,12.5072,yulist1,9
KCNMA1,12.5072,Bigham2014canidatelist,9
KCNMA1,12.5072,yulist2,9
KCNMA1,12.5072,Ortiz.Barahona2010HRElocations,9
EDN1,9.02827,Bigham2009,9
EDN1,9.02827,Simonson2010apriorilist,9
EDN1,9.02827,Bigham2010,9
EDN1,9.02827,Huerta.sanchez2013hypoxgeneset,9
EDN1,9.02827,yulist1,9
EDN1,9.02827,Yang2017,9
EDN1,9.02827,Bigham2014canidatelist,9
EDN1,9.02827,yulist2,9
EDN1,9.02827,Ortiz.Barahona2010HRElocations,9
NOTCH1,8.96901,Bigham2009,9
NOTCH1,8.96901,Simonson2010,9
NOTCH1,8.96901,Bigham2010,9
NOTCH1,8.96901,Eichstaedt2014apriorilist,9
NOTCH1,8.96901,Eichstaedt2015apriori,9
NOTCH1,8.96901,Arciero2018,9
NOTCH1,8.96901,yulist1,9
NOTCH1,8.96901,Bigham2014canidatelist,9
NOTCH1,8.96901,yulist2,9
NOS2,8.46568,Simonson2010apriorilist,9
NOS2,8.46568,Eichstaedt2014apriorilist,9
NOS2,8.46568,Eichstaedt2015apriori,9
NOS2,8.46568,Crawford2017,9
NOS2,8.46568,yulist1,9
NOS2,8.46568,Bigham2014canidatelist,9
NOS2,8.46568,Halllist1,9
NOS2,8.46568,yulist2,9
NOS2,8.46568,Moore2017,9
SLC8A1,6.07837,Simonson2010apriorilist,9
SLC8A1,6.07837,Simonson2010,9
SLC8A1,6.07837,Eichstaedt2014apriorilist,9
SLC8A1,6.07837,Eichstaedt2015apriori,9
SLC8A1,6.07837,Sheinfeldt2012,9
SLC8A1,6.07837,Huerta.sanchez2013hypoxgeneset,9
