gene_name,study
ADRA1B,bigham_hif
ARNT2,bigham_hif
ATP1A1,bigham_hif
ATP1A2,bigham_hif
CDH1,bigham_hif
COPS5,bigham_hif
CXCR4,bigham_hif
EDN1,bigham_hif
EDNRA,bigham_hif
EGLN1,bigham_hif
EGLN2,bigham_hif
ELF2,bigham_hif
FRAP1,bigham_hif
IL1A/,bigham_hif
IL1B,bigham_hif
IL6,bigham_hif
IGFBP1,bigham_hif
IGFBP2,bigham_hif
MDM2,bigham_hif
MMP2,bigham_hif
NOS1,bigham_hif
NOS2A,bigham_hif
NOTCH1,bigham_hif
NRP1,bigham_hif
NRP2,bigham_hif
POLRA,bigham_hif
PIK3CA,bigham_hif
PIK3CG,bigham_hif
PRKAA1,bigham_hif
PRKAA2,bigham_hif
SNAI3,bigham_hif
SPRY2,bigham_hif
TF,bigham_hif
TGFA,bigham_hif
TNC,bigham_hif
TNF,bigham_hif
VEGF,bigham_hif
KCNK2,bigham
KCNK2,bigham
KIAA1026,bigham
PEX14,bigham
ERBB4,bigham
INPP5D,bigham
TMEM169,bigham
CPNE4,bigham
LDB2,bigham
RBM47,bigham
FCHO2,bigham
F13A1,bigham
F13A1,bigham
KCNK5,bigham
ADRA1A,bigham
ADAMTSL1,bigham
PTPRD,bigham
VAV2,bigham
AK056561,bigham
FAM107B,bigham
GFRA1,bigham
OLAH,bigham
LDLRAD3,bigham
PSMD13,bigham
CHST11,bigham
SLC4A8,bigham
KCNK10,bigham
PPP2R5C,bigham
C17orf54,bigham
MPRIP,bigham
PTPRM,bigham
GNA15,bigham
RP5-1022P6.2,bigham
ERG,bigham
ADAM7,Eichstaedt
KRTAP19-8,Eichstaedt
RP11-1085N6.3,Eichstaedt
GPR126,Eichstaedt
RBM15,Eichstaedt
APOH,Eichstaedt
STXBP5L,Eichstaedt
URB1,Eichstaedt
COL9A2,Eichstaedt
GPR126,Eichstaedt
MTRR,Eichstaedt
KIAA0586,Eichstaedt
IL22RA1,Eichstaedt
MTRR,Eichstaedt
ATG2B,Eichstaedt
TAS2R40,Eichstaedt
AKAP6,Eichstaedt
ROBO2,Eichstaedt
ADAM7,Eichstaedt
PLCG2,Eichstaedt
TMEM132C,Eichstaedt
KIF26A,Eichstaedt
C1orf50;RP5-994D16.9,Eichstaedt
CD8B,Eichstaedt
OR52W1,Eichstaedt
EPAS1,Eichstaedt
IVL,Eichstaedt
IMPG1,Eichstaedt
SEPSECS,Eichstaedt
BRCA2,Eichstaedt
AK4,Eichstaedt
LBP,Eichstaedt
SEC14L4,Eichstaedt
SEC14L4,Eichstaedt
SEC14L4,Eichstaedt
ITPKB,Eichstaedt
TRAP1,Eichstaedt
ASCL5,Eichstaedt
MEGF6,Eichstaedt
FLG2,Eichstaedt
SUN1,Eichstaedt
ACCSL,Eichstaedt
SUSD5,zhou
GUSBP4,zhou
ARID1B,zhou
CNNM1,zhou
CD3E,zhou
SENP1,zhou
ANP32D,zhou
SORD,zhou
PBX4,zhou
DGKK,zhou
MAGEA5,zhou
PFKM,zhou
C12orf54,zhou
DUOX2,zhou
LPAR2,zhou
MAGEA10,zhou
ASB8,zhou
DUOXA2,zhou
GMIP,zhou
GABRA3,zhou
DUOXA1,zhou
DUOX1,zhou
